,territory_code,reassigned_cluster,average_income,total_price,average_income_real,total_price_real,household_code,year,base_income_2020,base_price_2020,base_income_2020_real,base_price_2020_real,base_count_2020,income_pct_change,price_pct_change,count_pct_change
112,33,2,378475.4453703704,407691.65,244177.70669056152,263026.87096774194,180,2024,346163.11805555556,262921.7916666667,346163.11805555556,262921.7916666667,24.0,-29.46,0.04,650.0
113,33,3,605553.9861111111,133749.16666666666,605553.9861111111,133749.16666666666,6,2020,605553.9861111111,133749.16666666666,605553.9861111111,133749.16666666666,6.0,0.0,0.0,0.0
114,33,3,675325.2208333333,185240.0,625301.1304012345,171518.5185185185,20,2021,605553.9861111111,133749.16666666666,605553.9861111111,133749.16666666666,6.0,3.26,28.24,233.33
115,33,3,740000.0797101449,246570.91304347827,569230.8305462654,189669.93311036789,23,2022,605553.9861111111,133749.16666666666,605553.9861111111,133749.16666666666,6.0,-6.0,41.81,283.33
116,33,3,752391.5773092369,255640.843373494,526147.9561603055,178769.82054090488,83,2023,605553.9861111111,133749.16666666666,605553.9861111111,133749.16666666666,6.0,-13.11,33.66,1283.33
117,33,3,760143.120614035,298520.5131578947,490414.91652518394,192593.87945670626,76,2024,605553.9861111111,133749.16666666666,605553.9861111111,133749.16666666666,6.0,-19.01,44.0,1166.67
118,35,1,290039.9379610999,149633.19919517104,290039.9379610999,149633.19919517104,497,2020,290039.9379610999,149633.19919517104,290039.9379610999,149633.19919517104,497.0,0.0,0.0,0.0
119,35,1,290140.60493827163,155078.93464052287,268648.7082761774,143591.60614863227,459,2021,290039.9379610999,149633.19919517104,290039.9379610999,149633.19919517104,497.0,-7.38,-4.04,-7.65
120,35,1,281580.1431818182,197457.46818181817,216600.11013986013,151890.36013986013,440,2022,290039.9379610999,149633.19919517104,290039.9379610999,149633.19919517104,497.0,-25.32,1.51,-11.47
121,35,1,311499.1021126761,220424.54366197184,217831.5399389343,154143.03752585445,355,2023,290039.9379610999,149633.19919517104,290039.9379610999,149633.19919517104,497.0,-24.9,3.01,-28.57
122,35,1,316652.4934456929,227848.38951310862,204291.93125528572,146998.9609761991,267,2024,290039.9379610999,149633.19919517104,290039.9379610999,149633.19919517104,497.0,-29.56,-1.76,-46.28
123,35,2,354107.8818818819,269799.987987988,354107.8818818819,269799.987987988,333,2020,354107.8818818819,269799.987987988,354107.8818818819,269799.987987988,333.0,0.0,0.0,0.0
124,35,2,355096.9476190476,281197.7428571429,328793.47001763666,260368.28042328038,280,2021,354107.8818818819,269799.987987988,354107.8818818819,269799.987987988,333.0,-7.15,-3.5,-15.92
125,35,2,357442.5659259259,337199.32444444444,274955.81994301995,259384.09572649573,225,2022,354107.8818818819,269799.987987988,354107.8818818819,269799.987987988,333.0,-22.35,-3.86,-32.43
126,35,2,365263.74391727493,388272.802919708,255429.1915505419,271519.44260119443,137,2023,354107.8818818819,269799.987987988,354107.8818818819,269799.987987988,333.0,-27.87,0.64,-58.86
127,35,2,375002.5363372093,402375.5930232558,241937.1202175544,259597.1567891973,172,2024,354107.8818818819,269799.987987988,354107.8818818819,269799.987987988,333.0,-31.68,-3.78,-48.35
128,35,3,694922.5805243446,165366.60674157302,694922.5805243446,165366.60674157302,178,2020,694922.5805243446,165366.60674157302,694922.5805243446,165366.60674157302,178.0,0.0,0.0,0.0
129,35,3,748806.443452381,176422.61607142858,693339.2994929452,163354.2741402116,224,2021,694922.5805243446,165366.60674157302,694922.5805243446,165366.60674157302,178.0,-0.23,-1.22,25.84
130,35,3,759688.9146919431,214752.75829383885,584376.0882245715,165194.42945679912,211,2022,694922.5805243446,165366.60674157302,694922.5805243446,165366.60674157302,178.0,-15.91,-0.1,18.54
131,35,3,769096.6022222221,241132.88666666666,537829.7917637917,168624.39627039628,150,2023,694922.5805243446,165366.60674157302,694922.5805243446,165366.60674157302,178.0,-22.61,1.97,-15.73
132,35,3,742758.7681924882,242804.15492957746,479199.20528547623,156647.84189004995,142,2024,694922.5805243446,165366.60674157302,694922.5805243446,165366.60674157302,178.0,-31.04,-5.27,-20.22
133,39,1,273415.0775993884,158855.3486238532,273415.0775993884,158855.3486238532,436,2020,273415.0775993884,158855.3486238532,273415.0775993884,158855.3486238532,436.0,0.0,0.0,0.0
134,39,1,279057.2964583333,160202.7675,258386.38560956786,148335.8958333333,400,2021,273415.0775993884,158855.3486238532,273415.0775993884,158855.3486238532,436.0,-5.5,-6.62,-8.26
135,39,1,284821.06358024693,202853.26666666666,219093.12583095918,156040.97435897437,405,2022,273415.0775993884,158855.3486238532,273415.0775993884,158855.3486238532,436.0,-19.87,-1.77,-7.11
136,39,1,293381.00742971885,224153.18072289156,205161.5436571461,156750.4760299941,415,2023,273415.0775993884,158855.3486238532,273415.0775993884,158855.3486238532,436.0,-24.96,-1.33,-4.82
137,39,1,306909.7276084949,241421.80886426594,198006.27587644834,155756.00571888124,361,2024,273415.0775993884,158855.3486238532,273415.0775993884,158855.3486238532,436.0,-27.58,-1.95,-17.2
138,39,2,337098.49552845524,247831.40975609756,337098.49552845524,247831.40975609756,205,2020,337098.49552845524,247831.40975609756,337098.49552845524,247831.40975609756,205.0,0.0,0.0,0.0
139,39,2,356771.32019704435,265122.881773399,330343.81499726325,245484.14979018425,203,2021,337098.49552845524,247831.40975609756,337098.49552845524,247831.40975609756,205.0,-2.0,-0.95,-0.98
140,39,2,374240.0569828722,327289.6205533597,287876.96690990165,251761.24657950745,253,2022,337098.49552845524,247831.40975609756,337098.49552845524,247831.40975609756,205.0,-14.6,1.59,23.41
141,39,2,370000.59106529213,375510.1855670103,258741.67207363088,262594.5353615457,194,2023,337098.49552845524,247831.40975609756,337098.49552845524,247831.40975609756,205.0,-23.24,5.96,-5.37
142,39,2,391314.86881188117,390399.67656765674,252461.2056850846,251870.75907590758,303,2024,337098.49552845524,247831.40975609756,337098.49552845524,247831.40975609756,205.0,-25.11,1.63,47.8
143,39,3,756379.4395325202,168220.14024390245,756379.4395325202,168220.14024390245,164,2020,756379.4395325202,168220.14024390245,756379.4395325202,168220.14024390245,164.0,0.0,0.0,0.0
144,39,3,687213.8269927537,173618.86956521738,636309.0990673645,160758.21256038646,184,2021,756379.4395325202,168220.14024390245,756379.4395325202,168220.14024390245,164.0,-15.87,-4.44,12.2
145,39,3,730700.7804761905,218913.41142857142,562077.5234432234,168394.93186813185,175,2022,756379.4395325202,168220.14024390245,756379.4395325202,168220.14024390245,164.0,-25.69,0.1,6.71
146,39,3,696744.1820833333,252243.265,487233.6937645688,176393.89160839163,200,2023,756379.4395325202,168220.14024390245,756379.4395325202,168220.14024390245,164.0,-35.58,4.86,21.95
147,39,3,742439.5281690141,267051.6713615024,478993.2439800091,172291.40087838858,213,2024,756379.4395325202,168220.14024390245,756379.4395325202,168220.14024390245,164.0,-36.67,2.42,29.88
148,43,1,272317.2625,169958.52222222224,272317.2625,169958.52222222224,180,2020,272317.2625,169958.52222222224,272317.2625,169958.52222222224,180.0,0.0,0.0,0.0
149,43,1,284785.10833333334,180368.625,263689.9151234568,167007.9861111111,200,2021,272317.2625,169958.52222222224,272317.2625,169958.52222222224,180.0,-3.17,-1.74,11.11
150,43,1,288407.68670886074,219560.3924050633,221852.06669912365,168892.60954235637,158,2022,272317.2625,169958.52222222224,272317.2625,169958.52222222224,180.0,-18.53,-0.63,-12.22
151,43,1,311458.08726003487,252810.3664921466,217802.85822380066,176790.46607842422,191,2023,272317.2625,169958.52222222224,272317.2625,169958.52222222224,180.0,-20.02,4.02,6.11
152,43,1,299085.61312399356,260512.62801932366,192958.46007999583,168072.66323827332,207,2024,272317.2625,169958.52222222224,272317.2625,169958.52222222224,180.0,-29.14,-1.11,15.0
